可缩码："预防针"  rf;aa ->   rf;a (yu fang zhen)
可缩码："软骨病"  rgbvi ->   rgbv (ruan gu bing)
可缩码："日光灯"  rgdoi ->   rgdo (ri guang deng)
可缩码："压根没"  rgmvv ->   rgmv (ya gen mei)
可缩码："绕个圈"  rgqai ->   rgqa (rao ge quan)
可缩码："硬骨头"  rgtvi ->   rgtv (ying gu tou)
可缩码："裕固族"  rgzoi ->   rgzo (yu gu zu)
可缩码："又会从"  rhcai ->   rhca (you hui cong)
可缩码："入海口"  rhkea ->   rhke (ru hai kou)
可缩码："惹火了"  rhlio ->   rhli (re huo le)
可缩码："以和平"  rhpae ->   rhpa (yi he ping)
可缩码："乳黄色"  rhsev ->   rhse (ru huang se)
可缩码："一回事"  rhuvi ->   rhuv (yi hui shi)
可缩码："然后按"  rhxee ->   rhxe (ran hou an)
可缩码："用户组"  rhzeo ->   rhze (yong hu zu)
可缩码："日记本"  rjboo ->   rjbo (ri ji ben)
可缩码："应急灯"  rjdoe ->   rjdo (ying ji deng)
可缩码："热加工"  rjgia ->   rjgi (re jia gong)
可缩码："热交换"  rjhio ->   rjhi (re jiao huan)
可缩码："眼睫毛"  rjmii ->   rjmi (yan jie mao)
可缩码："液晶屏"  rjpao ->   rjpa (ye jing ping)
可缩码："人间体"  rjtio ->   rjti (ren jian ti)
可缩码："认可度"  rkdov ->   rkdo (ren ke du)
可缩码："热可可"  rkkiv ->   rkki (re ke ke)
可缩码："亚克力"  rklve ->   rklv (ya ke li)
可缩码："一览表"  rlbvi ->   rlbv (yi lan biao)
可缩码："人来疯"  rlfiv ->   rlfi (ren lai feng)
可缩码："软懒散"  rlsvo ->   rlsv (ruan lan san)
可缩码："叶绿体"  rltoa ->   rlto (ye lv ti)
可缩码："一秒钟"  rm;ve ->   rm;v (yi miao zhong)
可缩码："热门股"  rmgio ->   rmgi (re men gu)
可缩码："幽默画"  rmhii ->   rmhi (you mo hua)
可缩码："衣帽间"  rmjoi ->   rmjo (yi mao jian)
可缩码："如梦令"  rmlav ->   rmla (ru meng ling)
可缩码："燕麦片"  rmpvv ->   rmpv (yan mai pian)
可缩码："任免权"  rmqie ->   rmqi (ren mian quan)
可缩码："任命书"  rmuii ->   rmui (ren ming shu)
可缩码："忍耐着"  rn;av ->   rn;a (ren nai zhe)
可缩码："热闹过"  rngio ->   rngi (re nao guo)
可缩码："忍耐力"  rnlav ->   rnla (ren nai li)
可缩码："一年内"  rnnve ->   rnnv (yi nian nei)
可缩码："一男子"  rnzvi ->   rnzv (yi nan zi)
可缩码："热膨胀"  rp;ie ->   rp;i (re peng zhang)
可缩码："银蓬花"  rphii ->   rphi (yin peng hua)
可缩码："热疲劳"  rplio ->   rpli (re pi lao)
可缩码："热喷涂"  rptio ->   rpti (re pen tu)
可缩码："应聘书"  rpuov ->   rpuo (ying pin shu)
可缩码："优缺点"  rqdie ->   rqdi (you que dian)
可缩码："元器件"  rqjvo ->   rqjv (yuan qi jian)
可缩码："容器里"  rqloo ->   rqlo (rong qi li)
可缩码："容器内"  rqnoo ->   rqno (rong qi nei)
可缩码："入歧途"  rqtei ->   rqte (ru qi tu)
可缩码："一清早"  rqzva ->   rqzv (yi qing zao)
可缩码："应如此"  rrcoa ->   rrco (ying ru ci)
可缩码："一样了"  rrlvv ->   rrlv (yi yang le)
可缩码："医院内"  rrnva ->   rrnv (yi yuan nei)
可缩码："如斯般"  rsbav ->   rsba (ru si ban)
可缩码："御三家"  rsjev ->   rsje (yu san jia)
可缩码："以色列"  rslae ->   rsla (yi se lie)
可缩码："优思明"  rsmii ->   rsmi (you si ming)
可缩码："有损于"  rsrvi ->   rsrv (you sun yu)
可缩码："易碎贴"  rstov ->   rsto (yi sui tie)
可缩码："严肃性"  rsxva ->   rsxv (yan su xing)
可缩码："咏叹调"  rtdoo ->   rtdo (yong tan diao)
可缩码："要通过"  rtgva ->   rtgv (yao tong guo)
可缩码："若听见"  rtjio ->   rtji (ruo ting jian)
可缩码："入托率"  rtlei ->   rtle (ru tuo lv)
可缩码："云吞面"  rtmvv ->   rtmv (yun tun mian)
可缩码："亚太区"  rtqvv ->   rtqv (ya tai qu)
可缩码："一首歌"  rugvo ->   rugv (yi shou ge)
可缩码："入睡后"  ruhei ->   ruhe (ru shui hou)
可缩码："袁世凯"  rukvv ->   rukv (yuan shi kai)
可缩码："约束力"  rulav ->   rula (yue shu li)
可缩码："若是能"  runio ->   runi (ruo shi neng)
可缩码："热水瓶"  rupia ->   rupi (re shui ping)
可缩码："人事网"  ruwiv ->   ruwi (ren shi wang)
可缩码："热水澡"  ruzia ->   ruzi (re shui zao)
可缩码："人物画"  rwhie ->   rwhi (ren wu hua)
可缩码："业务量"  rwlie ->   rwli (ye wu liang)
可缩码："让我们"  rwmoe ->   rwmo (rang wo men)
可缩码："绕弯弯"  rwwao ->   rwwa (rao wan wan)
可缩码："绕弯子"  rwzao ->   rwza (rao wan zi)
可缩码："热效率"  rxlio ->   rxli (re xiao lv)
可缩码："日耳曼"  rxmov ->   rxmo (ri er man)
可缩码："一席谈"  rxtvo ->   rxtv (yi xi tan)
可缩码："日心说"  rxuoo ->   rxuo (ri xin shuo)
可缩码："乳腺癌"  rxxee ->   rxxe (ru xian ai)
可缩码："入出境"  ryjea ->   ryje (ru chu jing)
可缩码："人造冰"  rzbie ->   rzbi (ren zao bing)
